territory_id_x,territory_id_y,distance,type
1954,1953,535.2,highway
1955,1953,38.1,highway
1955,1954,571.4,highway
1956,1953,43.6,highway
1956,1955,79.8,highway
1956,1954,492.3,highway
1957,1953,39.0,highway
1957,1955,70.7,highway
1957,1956,81.5,highway
1957,1954,573.1,highway
1959,1956,168.6,highway
1959,1953,211.5,highway
1959,1955,247.6,highway
1959,1957,249.4,highway
1959,1954,324.5,highway
1960,1955,70.1,highway
1960,1953,92.8,highway
1960,1957,125.4,highway
1960,1956,134.5,highway
1960,1959,292.6,highway
1960,1954,616.3,highway
1961,1954,187.0,highway
1961,1959,400.9,highway
1961,1956,568.8,highway
1961,1953,611.7,highway
1961,1955,647.8,highway
1961,1957,649.6,highway
1961,1960,692.8,highway
1962,1961,228.7,highway
1962,1954,415.2,highway
1962,1959,629.1,highway
1962,1956,796.9,highway
1962,1953,839.8,highway
1962,1955,876.0,highway
1962,1957,877.8,highway
1962,1960,921.0,highway
1963,1959,78.2,highway
1963,1956,246.0,highway
1963,1954,259.4,highway
1963,1953,288.9,highway
1963,1955,325.1,highway
1963,1957,326.9,highway
1963,1961,335.9,highway
1963,1960,370.0,highway
1963,1962,564.0,highway
1965,1963,74.5,highway
1965,1959,139.5,highway
1965,1954,185.8,highway
1965,1961,262.3,highway
1965,1956,307.4,highway
1965,1953,350.3,highway
1965,1955,386.4,highway
1965,1957,388.2,highway
1965,1960,431.4,highway
1965,1962,490.5,highway
1966,1956,137.3,highway
1966,1960,138.2,highway
1966,1959,154.7,highway
1966,1955,158.9,highway
1966,1953,180.2,highway
1966,1957,214.3,highway
1966,1963,232.1,highway
1966,1965,293.5,highway
1966,1954,478.4,highway
1966,1961,554.9,highway
1966,1962,783.0,highway
1967,1954,55.8,highway
1967,1965,131.1,highway
1967,1961,131.2,highway
1967,1963,204.6,highway
1967,1959,269.7,highway
1967,1962,359.4,highway
1967,1966,423.6,highway
1967,1956,437.5,highway
1967,1953,480.5,highway
1967,1955,516.6,highway
1967,1957,518.4,highway
1967,1960,561.6,highway
1968,1966,175.3,highway
1968,1956,248.9,highway
1968,1959,266.3,highway
1968,1953,291.8,highway
1968,1960,313.2,highway
1968,1955,328.0,highway
1968,1957,329.8,highway
1968,1963,343.8,highway
1968,1965,405.1,highway
1968,1967,535.3,highway
1968,1954,590.0,highway
1968,1961,666.5,highway
1968,1962,894.7,highway
1969,1960,47.9,highway
1969,1955,70.4,highway
1969,1966,90.3,highway
1969,1953,93.1,highway
1969,1957,125.7,highway
1969,1956,134.8,highway
1969,1959,244.7,highway
1969,1968,265.3,highway
1969,1963,322.2,highway
1969,1965,383.5,highway
1969,1967,513.7,highway
1969,1954,568.4,highway
1969,1961,644.9,highway
1969,1962,873.1,highway
1969,1960,47.0,railway
1969,1966,90.0,railway
1969,1956,223.0,railway
1969,1959,245.0,railway
1969,1953,266.0,railway
1969,1957,305.0,railway
1969,1963,320.0,railway
1969,1965,393.0,railway
1969,1967,523.0,railway
1969,1961,645.0,railway
1966,1956,133.0,railway
1966,1960,137.0,railway
1966,1959,155.0,railway
1966,1953,176.0,railway
1966,1957,215.0,railway
1966,1963,230.0,railway
1966,1965,303.0,railway
1966,1967,433.0,railway
1966,1961,555.0,railway
1956,1953,43.0,railway
1956,1957,82.0,railway
1956,1959,170.0,railway
1956,1969,223.0,railway
1956,1963,245.0,railway
1956,1960,270.0,railway
1956,1965,318.0,railway
1956,1967,448.0,railway
1956,1961,570.0,railway
1959,1963,75.0,railway
1959,1965,148.0,railway
1959,1953,213.0,railway
1959,1957,252.0,railway
1959,1967,278.0,railway
1959,1960,292.0,railway
1959,1961,400.0,railway
1960,1953,313.0,railway
1960,1957,352.0,railway
1960,1963,367.0,railway
1960,1965,440.0,railway
1960,1967,570.0,railway
1960,1961,692.0,railway
1963,1965,73.0,railway
1963,1959,75.0,railway
1963,1967,203.0,railway
1963,1953,288.0,railway
1963,1961,325.0,railway
1963,1957,327.0,railway
1965,1967,130.0,railway
1965,1961,252.0,railway
1965,1953,361.0,railway
1965,1957,400.0,railway
1961,1967,122.0,railway
1961,1956,570.0,railway
1961,1953,613.0,railway
1961,1969,645.0,railway
1961,1957,652.0,railway
1953,1957,39.0,railway
1953,1967,491.0,railway
1957,1953,39.0,railway
1957,1967,530.0,railway
1953,1962,736.0,air
1953,1597,4145.0,air
1953,842,595.0,air
1953,1970,406.0,air
1953,3008,6641.0,air
1953,1954,444.0,air
1953,872,1187.0,air
1953,775,952.0,air
1953,1958,441.0,air
1953,847,288.0,air
1953,1968,249.0,air
1953,666,3510.0,air
1953,1961,538.0,air
1953,608,1318.0,air
1962,842,789.0,air
1969,847,279.0,water
1957,1970,443.0,water
