,territory_id,category,salary,value,consumption_percent
4,1954,Продовольствие,96625.0,19048.5,19.71
10,1955,Продовольствие,108286.4,17800.5,16.44
16,1956,Продовольствие,106257.6,14958.5,14.08
22,1957,Продовольствие,128090.6,18086.0,14.12
28,1959,Продовольствие,95628.8,15535.5,16.25
34,1960,Продовольствие,108694.7,17103.5,15.74
40,1961,Продовольствие,192734.4,20306.5,10.54
46,1962,Продовольствие,126841.9,21398.0,16.87
52,1963,Продовольствие,93411.3,17290.0,18.51
58,1965,Продовольствие,94562.8,16882.5,17.85
64,1966,Продовольствие,102967.7,17637.0,17.13
70,1967,Продовольствие,101926.2,18649.5,18.3
76,1968,Продовольствие,147821.8,20487.0,13.86
82,1969,Продовольствие,108750.4,15719.5,14.45
